DataSet,PubID,TrialID,TrtID,IFN,VarName,VarValue,VarUnits,N,SE,SD
NRC2019,117,1,426,5-28-242,ADF,0.7,%DM,-,-,-
NRC2019,128,1,452,4-02-854,ADF,3,%DM,-,-,-
NRC2019,128,1,452,4-28-265,ADF,2.4,%DM,-,-,-
NRC2019,128,1,453,4-02-854,ADF,3,%DM,-,-,-
NRC2019,128,1,453,4-28-265,ADF,2.4,%DM,-,-,-
NRC2019,128,1,454,4-02-854,ADF,3,%DM,-,-,-
NRC2019,128,1,454,4-28-265,ADF,2.4,%DM,-,-,-
NRC2019,128,1,455,4-02-854,ADF,3,%DM,-,-,-
NRC2019,128,1,455,4-28-265,ADF,2.4,%DM,-,-,-
NRC2019,132,1,460,3-02-265,ADF,29.8,%DM,-,-,-
NRC2019,132,1,460,3-28-248,ADF,22,%DM,-,-,-
NRC2019,132,1,460,1-04-560,ADF,46.9,%DM,-,-,-
NRC2019,132,1,461,3-02-265,ADF,29.8,%DM,-,-,-
NRC2019,132,1,461,3-28-248,ADF,22,%DM,-,-,-
NRC2019,132,1,461,1-04-560,ADF,46.9,%DM,-,-,-
NRC2019,132,1,462,3-02-265,ADF,29.8,%DM,-,-,-
NRC2019,132,1,462,3-28-248,ADF,22,%DM,-,-,-
NRC2019,132,1,462,1-04-560,ADF,46.9,%DM,-,-,-
NRC2019,132,1,463,3-02-265,ADF,29.8,%DM,-,-,-
NRC2019,132,1,463,3-28-248,ADF,22,%DM,-,-,-
NRC2019,132,1,463,1-04-560,ADF,46.9,%DM,-,-,-
NRC2019,132,1,464,3-02-265,ADF,29.8,%DM,-,-,-
NRC2019,132,1,464,3-28-248,ADF,22,%DM,-,-,-
NRC2019,132,1,464,1-04-560,ADF,46.9,%DM,-,-,-
NRC2019,139,1,488,3-07-795,ADF,29.6,%DM,-,-,-
NRC2019,139,1,488,3-07-795,ADF,29.1,%DM,-,-,-
NRC2019,139,1,488,3-07-797,ADF,27.1,%DM,-,-,-
NRC2019,139,1,488,3-07-795,ADF,24.9,%DM,-,-,-
NRC2019,139,1,489,3-07-795,ADF,29.6,%DM,-,-,-
NRC2019,139,1,489,3-07-795,ADF,29.1,%DM,-,-,-
NRC2019,139,1,489,3-07-797,ADF,27.1,%DM,-,-,-
NRC2019,139,1,489,3-07-795,ADF,24.9,%DM,-,-,-
NRC2019,139,1,490,3-07-795,ADF,29.6,%DM,-,-,-
NRC2019,139,1,490,3-07-795,ADF,29.1,%DM,-,-,-
NRC2019,139,1,490,3-07-797,ADF,27.1,%DM,-,-,-
NRC2019,139,1,490,3-07-795,ADF,24.9,%DM,-,-,-
NRC2019,139,1,491,3-07-795,ADF,29.6,%DM,-,-,-
NRC2019,139,1,491,3-07-795,ADF,29.1,%DM,-,-,-
NRC2019,139,1,491,3-07-797,ADF,27.1,%DM,-,-,-
NRC2019,139,1,491,3-07-795,ADF,24.9,%DM,-,-,-
NRC2019,141,1,492,3-02-265,ADF,29.6,%DM,-,-,-
NRC2019,141,1,492,3-28-248,ADF,21.9,%DM,-,-,-
NRC2019,141,1,492,4-28-265,ADF,2.19,%DM,-,-,-
NRC2019,141,1,492,5-20-638,ADF,4.75,%DM,-,-,-
NRC2019,141,1,493,3-02-265,ADF,29.6,%DM,-,-,-
NRC2019,141,1,493,3-28-248,ADF,21.9,%DM,-,-,-
NRC2019,141,1,493,4-28-265,ADF,2.19,%DM,-,-,-
NRC2019,141,1,493,5-20-638,ADF,4.75,%DM,-,-,-
NRC2019,141,1,494,3-02-265,ADF,29.6,%DM,-,-,-
NRC2019,141,1,494,3-28-248,ADF,21.9,%DM,-,-,-
NRC2019,141,1,494,4-28-265,ADF,2.19,%DM,-,-,-
NRC2019,141,1,494,5-20-638,ADF,4.75,%DM,-,-,-
NRC2019,141,1,495,3-02-265,ADF,29.6,%DM,-,-,-
NRC2019,141,1,495,3-28-248,ADF,21.9,%DM,-,-,-
NRC2019,141,1,495,4-28-265,ADF,2.19,%DM,-,-,-
NRC2019,141,1,495,5-20-638,ADF,4.75,%DM,-,-,-
NRC2019,143,1,496,3-02-265,ADF,27,%DM,-,-,-
NRC2019,143,1,496,3-28-248,ADF,18.3,%DM,-,-,-
NRC2019,143,1,496,4-28-265,ADF,1.97,%DM,-,-,-
NRC2019,143,1,496,5-20-638,ADF,4.57,%DM,-,-,-
NRC2019,143,1,496,CrkSoyH,ADF,4.04,%DM,-,-,-
NRC2019,143,1,497,3-02-265,ADF,27,%DM,-,-,-
NRC2019,143,1,497,3-28-248,ADF,18.3,%DM,-,-,-
NRC2019,143,1,497,4-28-265,ADF,1.97,%DM,-,-,-
NRC2019,143,1,497,5-20-638,ADF,4.57,%DM,-,-,-
NRC2019,143,1,497,CrkSoyH,ADF,4.04,%DM,-,-,-
NRC2019,143,1,498,3-02-265,ADF,27,%DM,-,-,-
NRC2019,143,1,498,3-28-248,ADF,18.3,%DM,-,-,-
NRC2019,143,1,498,4-28-265,ADF,1.97,%DM,-,-,-
NRC2019,143,1,498,5-20-638,ADF,4.57,%DM,-,-,-
